Feature A,Feature B,Mean |A/B| Ratio
Vibration_Amplitude,Acoustic_Intensity,8.27343394549352
Intake_Pressure,Temp_Ratio,8.26438757989507
Exhaust_Temperature,Vibration_ratio,8.191190927616828
Acoustic_Intensity,Noise_Vibration_Ratio,8.17147935131788
Acoustic_dB,Exhaust_Pressure,8.151668071140987
Surface_Temperature,Noise_Vibration_Ratio,8.140782172447716
Vibration_Frequency,Vibration_ratio,8.123462353423657
Surface_Temperature,Vibration_ratio,8.061148639358745
Exhaust_Pressure,Vibration_ratio,7.995295243571015
Acoustic_dB,Noise_Vibration_Ratio,7.974309762575992
Amplitude_Energy,Noise_Vibration_Ratio,7.940259574376994
Acoustic_Frequency,Pressure_Drop,7.902671229750738
Amplitude_Mean,Vibration_ratio,7.90179372957252
RMS_Vibration,Pressure_Drop,7.876902037059983
Temp_Ratio,Acoustic_Intensity,7.860635965301224
Pressure_Drop,Noise_Vibration_Ratio,7.794778624045831
Exhaust_Pressure,Noise_Vibration_Ratio,7.762028101876335
Freq_Energy,Noise_Vibration_Ratio,7.650057268750555
Vibration_Amplitude,Noise_Vibration_Ratio,7.647146551162174
RMS_Vibration,Exhaust_Pressure,7.630668162646329
Vibration_Amplitude,Temp_Ratio,7.611706012119607
Frequency_Band_Energy,Vibration_ratio,7.605595244281195
Temp_Ratio,Noise_Vibration_Ratio,7.5912325554302615
Exhaust_Temperature,Noise_Vibration_Ratio,7.544330476754073
Intake_Pressure,Amplitude_Mean,7.5038985347816975
Intake_Pressure,Noise_Vibration_Ratio,7.494621180020407
Surface_Temperature,Acoustic_Frequency,7.479135381977291
Acoustic_dB,Vibration_ratio,7.466804607313104
Vibration_Amplitude,Amplitude_Mean,7.421222305175502
Amplitude_Mean,Pressure_Drop,7.3657393070058745
Acoustic_dB,Temp_Ratio,7.2502306454288465
Vibration_Amplitude,Vibration_ratio,7.223286084456263
Intake_Pressure,Pressure_Drop,7.178078096142
RMS_Vibration,Freq_Energy,7.051759397644815
Exhaust_Pressure,Pressure_Drop,7.029329511693802
RMS_Vibration,Vibration_ratio,6.9665116841026204
Amplitude_Mean,Acoustic_Intensity,6.962835473998834
Vibration_Frequency,Surface_Temperature,6.910915271866512
Acoustic_Frequency,Amplitude_Mean,6.85352092734379
Vibration_Amplitude,Surface_Temperature,6.852034629053478
Exhaust_Temperature,Temp_Ratio,6.842777145257393
Surface_Temperature,Exhaust_Pressure,6.825883263913005
Exhaust_Temperature,Exhaust_Pressure,6.744248191264799
Frequency_Band_Energy,Pressure_Drop,6.727787826043537
Temp_Ratio,Pressure_Drop,6.4134946120348
Vibration_Frequency,Exhaust_Pressure,6.405185064574366
Surface_Temperature,Amplitude_Mean,6.323943960381746
Exhaust_Temperature,Amplitude_Mean,6.307539970417776
Exhaust_Pressure,Amplitude_Energy,6.1780014643713725
RMS_Vibration,Vibration_Frequency,6.1307408341379315
Acoustic_dB,Acoustic_Intensity,6.129006783558943
RMS_Vibration,Acoustic_Frequency,6.058150349648077
Acoustic_Frequency,Exhaust_Pressure,6.018161004959711
Acoustic_dB,Amplitude_Mean,6.006714798038619
RMS_Vibration,Surface_Temperature,5.919027564154924
Vibration_Frequency,Amplitude_Mean,5.8822726615519745
Pressure_Drop,Amplitude_Energy,5.869326451296105
Vibration_Amplitude,Exhaust_Pressure,5.8241140428169
Exhaust_Temperature,Amplitude_Energy,5.818461538657797
Vibration_Amplitude,Vibration_Frequency,5.812053498032183
Vibration_Frequency,Amplitude_Energy,5.790495427895516
Exhaust_Pressure,Temp_Ratio,5.776776035680515
Exhaust_Temperature,Intake_Pressure,5.75473172409066
Acoustic_Frequency,Temp_Ratio,5.7145710616634044
Vibration_Frequency,Exhaust_Temperature,5.708180289527672
Vibration_Amplitude,Pressure_Drop,5.666530469972056
Amplitude_Mean,Temp_Ratio,5.6621520809922465
Acoustic_dB,Intake_Pressure,5.619976939747071
Frequency_Band_Energy,Temp_Ratio,5.535426892588899
Acoustic_dB,Amplitude_Energy,5.52837916768299
RMS_Vibration,Temp_Ratio,5.5060431951042705
RMS_Vibration,Exhaust_Temperature,5.477567076198128
Vibration_Frequency,Temp_Ratio,5.407878141042826
RMS_Vibration,Amplitude_Energy,5.400378651635939
Acoustic_Frequency,Amplitude_Energy,5.379762445183775
Vibration_Amplitude,Intake_Pressure,5.360515748335801
Freq_Energy,Amplitude_Energy,5.360488435959585
Surface_Temperature,Intake_Pressure,5.321337366654503
Acoustic_Frequency,Intake_Pressure,5.2847052573287385
Acoustic_dB,Frequency_Band_Energy,5.2555639595915995
Vibration_ratio,Freq_Energy,5.173660444725465
RMS_Vibration,Intake_Pressure,5.144039630312343
Acoustic_Intensity,Amplitude_Energy,5.118877089702175
Acoustic_Frequency,Frequency_Band_Energy,5.07091664249567
Intake_Pressure,Amplitude_Energy,5.066026236545927
RMS_Vibration,Frequency_Band_Energy,5.023725599468057
Vibration_Amplitude,Amplitude_Energy,5.022971757269812
Exhaust_Pressure,Frequency_Band_Energy,4.9845143821958615
Surface_Temperature,Amplitude_Energy,4.917958088319014
Surface_Temperature,Acoustic_dB,4.879286245429444
RMS_Vibration,Acoustic_dB,4.874683446875386
Exhaust_Temperature,Acoustic_dB,4.868292383316808
Surface_Temperature,Frequency_Band_Energy,4.844448873604051
Temp_Ratio,Amplitude_Energy,4.841539999958237
Vibration_Amplitude,Frequency_Band_Energy,4.807837374844202
Frequency_Band_Energy,Amplitude_Energy,4.717233842651891
Vibration_Amplitude,RMS_Vibration,4.7024685334572665
Vibration_Frequency,Acoustic_dB,4.6973806161369
Surface_Temperature,Exhaust_Temperature,4.652573830011666
Vibration_Amplitude,Exhaust_Temperature,4.642810890643517
Vibration_Frequency,Frequency_Band_Energy,4.582189877242401
Vibration_ratio,Acoustic_Intensity,4.546872005409065
Vibration_Frequency,Intake_Pressure,4.531079251350292
Vibration_ratio,Pressure_Drop,4.466500515480908
Vibration_Amplitude,Acoustic_dB,4.335091708863226
Intake_Pressure,Frequency_Band_Energy,4.309566361024453
Exhaust_Temperature,Frequency_Band_Energy,4.154522536324401
Amplitude_Mean,Amplitude_Energy,4.105988095781786
Surface_Temperature,Temp_Ratio,3.8980694449649445
Acoustic_Frequency,Acoustic_Intensity,3.460510300697994
Vibration_ratio,Temp_Ratio,3.3208444898968184
Vibration_ratio,Amplitude_Energy,2.8200072685677826
Vibration_ratio,Noise_Vibration_Ratio,2.3643543078458693
